X,Y,OBJECTID,FACNAME,ACCESSRES,Address
-90.044885942340116,29.945108762577089,13,Arthur Monday Center,Senior Center Pickup Locations,1111 Newton Ave
-90.07180566463839,29.932051212662675,14,Kingsley House,Senior Center Pickup Locations,1600 Constance St
-90.084931702967026,29.936789936689365,15,Central City Senior Center,Senior Center Pickup Locations,2101 Philip St.
-90.129526169653758,29.948401275339762,16,Mater Dolorosa,Senior Center Pickup Locations,1226 S. Carrollton Ave
-90.02696212573855,29.942975492145123,17,Harriet Tubman Charter School,General  Population Pickup Locations,2832 General Meyer
-90.032359835094098,29.964561623779112,18,Stallings Community Center,General  Population Pickup Locations,4300 St. Claude
-90.069259414420372,29.961647213760944,19,Louis Armstrong Park Bus Stop,General  Population Pickup Locations,801 N. Rampart
-90.09060392640464,29.968280552318745,20,Warren Easton High School,General  Population Pickup Locations,3019 Canal St
-90.087165834942397,29.918738621977493,21,Lyons Community Center,General  Population Pickup Locations,624 Louisiana Ave
-90.111856149206432,29.942210346116692,22,McMain High School,General  Population Pickup Locations,5712 S. Claiborne Ave
-90.121229271160118,29.95584060953767,23,Palmer Park,General  Population Pickup Locations,S. Claiborne & S. Carrollton
-89.918997690387712,30.040642373033617,24,Mary Queen of Vietnam,General  Population Pickup Locations,14001 Dwyer
-90.08443429989866,29.936093163723687,25,Dryades YMCA,General  Population Pickup Locations,1924 Phillip St
-89.972978656277533,30.032814003966465,26,New Orleans East Regional Library,General  Population Pickup Locations,5641 Read Blvd
-90.014173633296764,29.966242319583532,27,Sanchez Center,General  Population Pickup Locations,1616 Caffin Ave
-90.108308164809287,30.004974658962187,28,Smith Library Bus Stop,General  Population Pickup Locations,6300 Canal Blvd.
-90.039881873066193,30.004276834491385,29,Walmart,General  Population Pickup Locations,4301 Chef Menteur Hwy
-90.078255918498883,29.946653332995162,30,UPT / Amtrak,Staging Locations,1001 Loyola Ave.
