OBJECTID,GNOCDC_LAB,Shape_Length,Shape_Area
361,U.S. NAVAL BASE,24814.676237335,29654239.8686928
362,ALGIERS POINT,15434.7917198916,13750799.0571487
363,WHITNEY,25858.2586901564,18421692.6619183
364,AUDUBON,39015.6543797951,63257823.1073199
365,OLD AURORA,39878.2642393323,86634754.2893944
366,B. W. COOPER,12118.0128508166,8808477.26257685
367,BAYOU ST. JOHN,15653.7997523902,11505360.7430722
368,BEHRMAN,30442.1251235094,42732094.8298163
369,BLACK PEARL,18633.914885549,13866533.3325631
370,BROADMOOR,17139.711494151,15761350.0482326
371,BYWATER,40031.9790340525,37087853.1222147
372,CENTRAL BUSINESS DISTRICT,30013.0633438302,32707578.0674836
373,CENTRAL CITY,32228.3275911286,39210811.6293514
374,CITY PARK,42648.2484258836,69446845.2523587
375,DESIRE AREA,30435.9892172228,57345224.5521717
376,DILLARD,20830.352352437,26475756.349116
377,DIXON,13225.1976413725,7050618.49523978
378,EAST CARROLLTON,14138.1643428701,10568424.8599991
379,EAST RIVERSIDE,12713.0237432992,6908365.29570141
380,LITTLE WOODS,95662.0000590308,170814090.492138
381,FAIRGROUNDS,20461.1265113429,24316104.6553125
382,FILLMORE,24166.5427471921,34127888.2676652
383,FISCHER DEV,9784.0554867313,5379861.54585589
384,FLORIDA AREA,15567.6236547775,8781458.16525957
385,FLORIDA DEV,5959.03132752252,1540363.48324253
386,FRERET,9710.45134831496,5464057.94679313
387,GARDEN DISTRICT,10078.8572269601,6045987.75725206
388,GENTILLY TERRACE,23830.6365907998,33902152.2693045
389,GENTILLY WOODS,18847.9906508587,20628350.8893468
390,GERT TOWN,23477.6193394269,21377298.4874594
391,HOLLYGROVE,18537.399674273,17541142.7569112
392,HOLY CROSS,21187.1804675017,26999609.6406021
393,IBERVILLE,5408.45872003952,1747062.73826137
394,IRISH CHANNEL,26507.6943243058,23457801.2348379
395,LAKE CATHERINE,309845.795455649,1872417380.90179
396,LAKE TERRACE & OAKS,38150.5220194444,41831829.331714
397,LAKESHORE - LAKE VISTA,27091.0937755875,31376084.8110249
398,LAKEVIEW,28408.6412888561,44877412.055636
399,LAKEWOOD,25084.4112767903,25188837.735119
400,WEST END,26260.7047548592,22149539.3235202
401,LEONIDAS,27419.4956340328,28991003.1215192
402,LOWER GARDEN DISTRICT,30616.5277776291,30395410.4862272
403,LOWER NINTH WARD,27415.3322995645,45731661.6652288
404,MARIGNY,13230.2015753351,9104274.39985381
405,MARLYVILLE - FONTAINBLEAU,22921.177691382,17855476.2783817
406,McDONOGH,15823.7131249658,13992654.4165494
407,MID-CITY,28884.2800174581,45080507.4052345
408,MILAN,16762.4631457168,14702408.2547371
409,MILNEBURG,18462.7950005757,20615164.9842994
410,NAVARRE,17584.9631126278,18304855.8236405
411,PINES VILLAGE,29310.4589333049,38048656.8480475
412,PLUM ORCHARD,22797.6560905927,27132040.9459231
413,PONTCHARTRAIN PARK,21228.7805423384,27855903.1727254
414,READ BLVD EAST,43344.5008837152,102556391.798276
415,READ BLVD WEST,19968.8987591636,21611271.4404504
416,NEW AURORA - ENGLISH TURN,81691.059092448,273195883.056693
417,SEVENTH WARD,23675.6591155265,32605300.5984619
418,TREME - LAFITTE,18266.2267341917,19235313.8297659
419,ST.  ANTHONY,18068.1894078749,17854664.9511621
420,ST. BERNARD AREA,13454.0464606424,9846140.05454204
421,ST. CLAUDE,25060.1051553782,28282127.5897809
422,ST. ROCH,38502.2964757056,35609169.8865272
423,ST. THOMAS DEV,14721.1027659979,10077791.665859
424,TALL TIMBERS - BRECHTEL,52393.9096825812,89389327.6445238
425,TOURO,12386.6777568762,8469884.37455007
426,TULANE - GRAVIER,18239.2236671726,19669962.629465
427,UPTOWN,17062.0855204653,17723834.4483568
428,VIAVANT - VENETIAN ISLES,192094.165085093,966328337.9389
429,FRENCH QUARTER,19249.9108235274,18566016.6927121
430,VILLAGE DE LEST,113643.657163219,667259784.898049
431,WEST LAKE FOREST,33317.4382044811,37390226.7230173
432,WEST RIVERSIDE,27484.8287342523,38787566.5098715
